feature,importance
Bacteria,0.19426617210808386
WBC,0.17289548580577346
Epithelial Cells,0.08186339990752502
RBC,0.07494655129835216
Specific Gravity,0.06596986644200149
Gender_FEMALE,0.05293722985660399
Age,0.052164833150789236
pH,0.0496897924148625
Mucous Threads,0.04798933349212543
Color_YELLOW,0.038428326655992315
Amorphous Urates,0.03337949236076566
Transparency,0.030303064577480887
Gender_MALE,0.026933759702279767
Color_DARK YELLOW,0.020924744555565943
Color_LIGHT YELLOW,0.017116458888062472
Protein,0.014946765153026797
Color_STRAW,0.012165093599889546
Color_AMBER,0.0071312370340308835
Glucose,0.005233221545144904
Color_REDDISH YELLOW,0.000516937761768591
Color_REDDISH,0.00018041760589965788
Color_LIGHT RED,1.1409110161805183e-05
Color_BROWN,6.406973813681422e-06
Color_RED,0.0
